route_id,service_id,trip_id,trip_headsign,direction_id,block_id,shape_id,direction_name,wheelchair_accessible
901,SatSun,5663__461044_Timetable_-_2026-02,B - North Campus Terminal,0,461044_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5664__461043_Timetable_-_2026-02,B - North Campus Terminal,0,461043_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5665__461045_Timetable_-_2026-02,B - North Campus Terminal,0,461045_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5666__461034_Timetable_-_2026-02,B - North Campus Terminal,0,461034_Timetable_-_2026-02,100.0.22739591313_Timetable_-_2026-02,Northbound,1
901,SatSun,5667__461017_Timetable_-_2026-02,A - Lakeview Park,1,461017_Timetable_-_2026-02,100.0.2273959134_Timetable_-_2026-02,Southbound,1
901,Overnight,5668__491001_Timetable_-_2026-02,A - Lakeview Park,1,491001_Timetable_-_2026-02,100.0.2273959134_Timetable_-_2026-02,Southbound,1
901,Weekday,5669__401097_Timetable_-_2026-02,A - Lakeview Park,1,401097_Timetable_-_2026-02,100.0.2273959134_Timetable_-_2026-02,Southbound,1
N2,Overnight,566__491001_Timetable_-_2026-02,Bloor,1,491001_Timetable_-_2026-02,100.0.1952650992_Timetable_-_2026-02,Southbound,1
901,Weekday,5670__401096_Timetable_-_2026-02,Drop off only,0,401096_Timetable_-_2026-02,100.0.2273959133_Timetable_-_2026-02,Northbound,1
901,Weekday,5671__401093_Timetable_-_2026-02,Drop off only,0,401093_Timetable_-_2026-02,100.0.2273959133_Timetable_-_2026-02,Northbound,1
901,Overnight,5672__491003_Timetable_-_2026-02,A - Lakeview Park,1,491003_Timetable_-_2026-02,100.0.2273959134_Timetable_-_2026-02,Southbound,1
901,SatSun,5673__461034_Timetable_-_2026-02,Drop off only,0,461034_Timetable_-_2026-02,100.0.2273959133_Timetable_-_2026-02,Northbound,1
901,Weekday,5674__401008_Timetable_-_2026-02,Drop off only,0,401008_Timetable_-_2026-02,100.0.2273959133_Timetable_-_2026-02,Northbound,1
901,SatSun,5675__461045_Timetable_-_2026-02,B - North Campus Terminal,0,461045_Timetable_-_2026-02,100.0.2273959137_Timetable_-_2026-02,Northbound,1
901,SatSun,5676__461043_Timetable_-_2026-02,Drop off only,0,461043_Timetable_-_2026-02,100.0.2273959133_Timetable_-_2026-02,Northbound,1
901,Weekday,5677__401043_Timetable_-_2026-02,Drop off only,0,401043_Timetable_-_2026-02,100.0.2273959133_Timetable_-_2026-02,Northbound,1
916,Weekday,5678__201072_Timetable_-_2026-02,Conlin,0,201072_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5679__201088_Timetable_-_2026-02,Conlin,0,201088_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
N2,Overnight,567__491003_Timetable_-_2026-02,Bloor,1,491003_Timetable_-_2026-02,100.0.1952650992_Timetable_-_2026-02,Southbound,1
916,Weekday,5680__201022_Timetable_-_2026-02,Conlin,0,201022_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5681__201021_Timetable_-_2026-02,Conlin,0,201021_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5682__201029_Timetable_-_2026-02,Conlin,0,201029_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5683__201077_Timetable_-_2026-02,Conlin,0,201077_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5684__201026_Timetable_-_2026-02,Conlin,0,201026_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5685__201005_Timetable_-_2026-02,Conlin,0,201005_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5686__201075_Timetable_-_2026-02,Conlin,0,201075_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5687__201074_Timetable_-_2026-02,Conlin,0,201074_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5688__201003_Timetable_-_2026-02,Conlin,0,201003_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5689__201072_Timetable_-_2026-02,Conlin,0,201072_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
N2,Overnight,568__491001_Timetable_-_2026-02,Bloor,1,491001_Timetable_-_2026-02,100.0.1952650992_Timetable_-_2026-02,Southbound,1
916,Weekday,5690__201036_Timetable_-_2026-02,Conlin,0,201036_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5691__201027_Timetable_-_2026-02,Conlin,0,201027_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5692__201022_Timetable_-_2026-02,Conlin,0,201022_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5693__201076_Timetable_-_2026-02,Conlin,0,201076_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5694__201021_Timetable_-_2026-02,Conlin,0,201021_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5695__201001_Timetable_-_2026-02,Conlin,0,201001_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5696__201029_Timetable_-_2026-02,Conlin,0,201029_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5697__201077_Timetable_-_2026-02,Conlin,0,201077_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5698__201026_Timetable_-_2026-02,Conlin,0,201026_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5699__201005_Timetable_-_2026-02,Conlin,0,201005_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
N2,Overnight,569__491003_Timetable_-_2026-02,Bloor,1,491003_Timetable_-_2026-02,100.0.1952650992_Timetable_-_2026-02,Southbound,1
403,Weekday,56__401028_Timetable_-_2026-02,Oshawa Station,1,401028_Timetable_-_2026-02,100.0.1046829271_Timetable_-_2026-02,Southbound,1
916,Weekday,5700__201075_Timetable_-_2026-02,Conlin,0,201075_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5701__201074_Timetable_-_2026-02,Conlin,0,201074_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5702__201003_Timetable_-_2026-02,Conlin,0,201003_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5703__201072_Timetable_-_2026-02,Conlin,0,201072_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5704__201047_Timetable_-_2026-02,Conlin,0,201047_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5705__201027_Timetable_-_2026-02,Conlin,0,201027_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
916,Weekday,5706__201022_Timetable_-_2026-02,Conlin,0,201022_Timetable_-_2026-02,100.0.251557355916_Timetable_-_2026-02,Eastbound,1
